bin_lower,bin_upper,samples,mean_confidence,mean_accuracy,calibration
0.0,0.06666667014360428,18,0.0523831844329834,0.1666666716337204,Before calibration
0.06666667014360428,0.13333334028720856,152,0.1043238490819931,0.17763157188892365,Before calibration
0.13333334028720856,0.20000001788139343,248,0.16991876065731049,0.3629032373428345,Before calibration
0.20000001788139343,0.2666666805744171,415,0.2362803965806961,0.34939759969711304,Before calibration
0.2666666805744171,0.3333333432674408,521,0.2999182939529419,0.42994242906570435,Before calibration
0.3333333432674408,0.40000003576278687,648,0.3680746853351593,0.5030864477157593,Before calibration
0.40000003576278687,0.46666669845581055,913,0.43527212738990784,0.6013143658638,Before calibration
0.46666669845581055,0.5333333015441895,1338,0.5014318227767944,0.6636771559715271,Before calibration
0.5333333015441895,0.5999999642372131,1336,0.5659875869750977,0.7492514848709106,Before calibration
0.5999999642372131,0.6666666269302368,1088,0.6313782930374146,0.796875,Before calibration
0.6666666269302368,0.7333333492279053,1075,0.7013372182846069,0.871627926826477,Before calibration
0.7333333492279053,0.800000011920929,1350,0.7695509791374207,0.9185185432434082,Before calibration
0.800000011920929,0.8666666746139526,1554,0.8342185616493225,0.96138995885849,Before calibration
0.8666666746139526,0.9333333373069763,2063,0.9024685621261597,0.9888511896133423,Before calibration
0.9333333373069763,1.0,2406,0.9620299339294434,0.9954280853271484,Before calibration
0.0,0.06666667014360428,2,0.05691082030534744,0.5,After calibration
0.06666667014360428,0.13333334028720856,24,0.1100066676735878,0.125,After calibration
0.13333334028720856,0.20000001788139343,78,0.17101258039474487,0.14102564752101898,After calibration
0.20000001788139343,0.2666666805744171,145,0.23727434873580933,0.2689655125141144,After calibration
0.2666666805744171,0.3333333432674408,258,0.3025255799293518,0.3100775182247162,After calibration
0.3333333432674408,0.40000003576278687,353,0.3670341670513153,0.34560906887054443,After calibration
0.40000003576278687,0.46666669845581055,419,0.4344673156738281,0.4176611006259918,After calibration
0.46666669845581055,0.5333333015441895,815,0.503649115562439,0.47116565704345703,After calibration
0.5333333015441895,0.5999999642372131,1012,0.5657080411911011,0.5859683752059937,After calibration
0.5999999642372131,0.6666666269302368,1048,0.6344995498657227,0.6889312863349915,After calibration
0.6666666269302368,0.7333333492279053,959,0.6983695030212402,0.7049009203910828,After calibration
0.7333333492279053,0.800000011920929,865,0.7660170793533325,0.7872832417488098,After calibration
0.800000011920929,0.8666666746139526,1068,0.8342892527580261,0.8623595237731934,After calibration
0.8666666746139526,0.9333333373069763,1663,0.9046216607093811,0.8941671848297119,After calibration
0.9333333373069763,1.0,6416,0.9817926287651062,0.9867518544197083,After calibration
