,precision,recall,f1-score,support
A,0.7777777777777778,0.875,0.8235294117647058,16.0
B,0.4,0.5714285714285714,0.47058823529411764,7.0
C,0.47619047619047616,0.7142857142857143,0.5714285714285714,14.0
D,0.36363636363636365,0.6666666666666666,0.47058823529411764,6.0
E,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
F,0.8,0.6666666666666666,0.7272727272727273,6.0
G,0.6470588235294118,0.9166666666666666,0.7586206896551724,12.0
H,0.7777777777777778,1.0,0.875,7.0
I,0.5833333333333334,0.7,0.6363636363636364,10.0
J,0.6428571428571429,0.8181818181818182,0.72,11.0
K,1.0,0.6,0.75,10.0
L,0.4666666666666667,0.5833333333333334,0.5185185185185185,12.0
M,0.7272727272727273,0.6666666666666666,0.6956521739130435,12.0
N,0.6666666666666666,0.9090909090909091,0.7692307692307693,11.0
O,0.4,0.2222222222222222,0.2857142857142857,9.0
P,0.2631578947368421,0.625,0.37037037037037035,8.0
Q,1.0,0.7142857142857143,0.8333333333333334,7.0
R,0.5714285714285714,0.8888888888888888,0.6956521739130435,9.0
S,1.0,0.2857142857142857,0.4444444444444444,7.0
T,1.0,0.16666666666666666,0.2857142857142857,6.0
U,1.0,0.16666666666666666,0.2857142857142857,6.0
V,0.2222222222222222,0.3333333333333333,0.26666666666666666,6.0
W,0.75,0.42857142857142855,0.5454545454545454,7.0
X,0.25,0.3333333333333333,0.2857142857142857,6.0
Y,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
Z,0.2777777777777778,0.7142857142857143,0.4,7.0
\rightarrow,0.6330935251798561,0.822429906542056,0.7154471544715447,107.0
0,0.4166666666666667,0.35714285714285715,0.38461538461538464,14.0
1,0.46153846153846156,0.5,0.48,12.0
2,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
3,0.4375,0.5833333333333334,0.5,12.0
4,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0
5,0.6666666666666666,0.75,0.7058823529411765,8.0
6,0.6153846153846154,0.8,0.6956521739130435,10.0
7,0.5384615384615384,0.875,0.6666666666666666,8.0
8,0.5,0.46153846153846156,0.48,13.0
9,0.5,0.5555555555555556,0.5263157894736842,9.0
\pi,0.773972602739726,0.7337662337662337,0.7533333333333333,154.0
\alpha,0.7936507936507936,0.7662835249042146,0.7797270955165692,261.0
\beta,0.7964601769911505,0.7894736842105263,0.7929515418502202,114.0
\sum,0.6756756756756757,0.7352941176470589,0.704225352112676,340.0
\sigma,0.9207920792079208,0.8230088495575221,0.8691588785046729,113.0
a,0.5384615384615384,0.7777777777777778,0.6363636363636364,9.0
b,0.5,0.16666666666666666,0.25,6.0
c,0.0,0.0,0.0,7.0
d,0.8,0.6666666666666666,0.7272727272727273,6.0
e,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
f,0.6,0.42857142857142855,0.5,7.0
g,0.0,0.0,0.0,6.0
h,0.6,0.5,0.5454545454545454,6.0
i,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
j,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
k,1.0,0.6666666666666666,0.8,6.0
l,0.0,0.0,0.0,6.0
