symbol_id,latex,class_index,development_count,frequency_group
31,A,0,129,Medium frequency
32,B,1,49,Low frequency
33,C,2,108,Low frequency
34,D,3,47,Low frequency
35,E,4,43,Low frequency
36,F,5,45,Low frequency
37,G,6,95,Low frequency
38,H,7,51,Low frequency
39,I,8,81,Low frequency
40,J,9,84,Low frequency
41,K,10,77,Low frequency
42,L,11,89,Low frequency
43,M,12,97,Low frequency
44,N,13,85,Low frequency
45,O,14,68,Low frequency
46,P,15,58,Low frequency
47,Q,16,54,Low frequency
48,R,17,67,Low frequency
49,S,18,50,Low frequency
50,T,19,45,Low frequency
51,U,20,48,Low frequency
52,V,21,45,Low frequency
53,W,22,50,Low frequency
54,X,23,43,Low frequency
55,Y,24,45,Low frequency
56,Z,25,52,Low frequency
59,\rightarrow,26,863,High frequency
70,0,27,107,Low frequency
71,1,28,95,Low frequency
72,2,29,100,Low frequency
73,3,30,97,Low frequency
74,4,31,49,Low frequency
75,5,32,63,Low frequency
76,6,33,81,Low frequency
77,7,34,60,Low frequency
78,8,35,97,Low frequency
79,9,36,73,Low frequency
81,\pi,37,1241,High frequency
82,\alpha,38,2106,High frequency
87,\beta,39,915,High frequency
88,\sum,40,2754,High frequency
89,\sigma,41,909,High frequency
90,a,42,69,Low frequency
91,b,43,46,Low frequency
92,c,44,54,Low frequency
93,d,45,47,Low frequency
94,e,46,50,Low frequency
95,f,47,53,Low frequency
96,g,48,45,Low frequency
97,h,49,47,Low frequency
98,i,50,48,Low frequency
99,j,51,42,Low frequency
100,k,52,47,Low frequency
101,l,53,45,Low frequency
102,m,54,46,Low frequency
103,n,55,49,Low frequency
104,o,56,50,Low frequency
105,p,57,44,Low frequency
106,q,58,56,Low frequency
107,r,59,49,Low frequency
108,s,60,48,Low frequency
110,u,61,46,Low frequency
111,v,62,50,Low frequency
112,w,63,45,Low frequency
113,x,64,53,Low frequency
114,y,65,47,Low frequency
115,z,66,49,Low frequency
116,\Sigma,67,1547,High frequency
117,\gamma,68,923,High frequency
150,\Gamma,69,502,High frequency
151,\delta,70,1009,High frequency
152,\Delta,71,806,High frequency
153,\zeta,72,706,High frequency
154,\eta,73,555,High frequency
155,\theta,74,526,High frequency
156,\Theta,75,373,High frequency
157,\epsilon,76,440,High frequency
158,\varepsilon,77,599,High frequency
159,\iota,78,126,Medium frequency
160,\kappa,79,202,Medium frequency
161,\varkappa,80,115,Low frequency
162,\lambda,81,806,High frequency
163,\Lambda,82,356,High frequency
164,\mu,83,929,High frequency
165,\nu,84,316,Medium frequency
166,\xi,85,2079,High frequency
167,\Xi,86,322,High frequency
168,\Pi,87,647,High frequency
169,\rho,88,560,High frequency
170,\varrho,89,179,Medium frequency
171,\tau,90,343,High frequency
174,\phi,91,556,High frequency
175,\Phi,92,491,High frequency
176,\varphi,93,1232,High frequency
177,\chi,94,752,High frequency
178,\psi,95,454,High frequency
179,\Psi,96,363,High frequency
180,\omega,97,510,High frequency
181,\Omega,98,666,High frequency
182,\partial,99,1954,High frequency
183,\int,100,2846,High frequency
184,\cdot,101,611,High frequency
185,\leq,102,853,High frequency
186,\geq,103,701,High frequency
187,<,104,92,Low frequency
188,>,105,81,Low frequency
189,\subset,106,625,High frequency
190,\supset,107,332,High frequency
191,\subseteq,108,1276,High frequency
192,\supseteq,109,327,High frequency
193,\cong,110,1133,High frequency
194,\propto,111,1121,High frequency
195,-,112,95,Low frequency
196,+,113,73,Low frequency
197,\mathbb{R},114,45,Low frequency
254,\$,115,313,Medium frequency
257,\{,116,920,High frequency
259,\copyright,117,194,Medium frequency
260,\dots,118,112,Low frequency
261,\},119,259,Medium frequency
262,\S,120,279,Medium frequency
263,\dag,121,203,Medium frequency
264,\pounds,122,122,Medium frequency
265,\&,123,1041,High frequency
266,\#,124,864,High frequency
267,\%,125,718,High frequency
268,\checkmark,126,708,High frequency
269,\circledR,127,96,Low frequency
508,\mathsection,128,103,Low frequency
510,\amalg,129,149,Medium frequency
511,\cup,130,747,High frequency
512,\oplus,131,1083,High frequency
513,\times,132,1222,High frequency
514,\ast,133,451,High frequency
517,\triangleleft,134,107,Low frequency
520,\otimes,135,871,High frequency
521,\triangleright,136,122,Medium frequency
523,\diamond,137,202,Medium frequency
524,\pm,138,1237,High frequency
526,\div,139,271,Medium frequency
527,\bullet,140,283,Medium frequency
528,\setminus,141,416,High frequency
529,\uplus,142,149,Medium frequency
530,\cap,143,889,High frequency
531,\mp,144,93,Low frequency
532,\sqcap,145,120,Medium frequency
533,\vee,146,697,High frequency
534,\odot,147,393,High frequency
535,\sqcup,148,213,Medium frequency
536,\wedge,149,1175,High frequency
537,\circ,150,794,High frequency
538,\ominus,151,81,Low frequency
539,\star,152,211,Medium frequency
540,\wr,153,45,Low frequency
541,\barwedge,154,87,Low frequency
542,\circledcirc,155,91,Low frequency
544,\boxdot,156,97,Low frequency
549,\ltimes,157,178,Medium frequency
550,\boxplus,158,85,Low frequency
553,\boxtimes,159,173,Medium frequency
555,\rtimes,160,216,Medium frequency
562,\circledast,161,95,Low frequency
564,\lhd,162,85,Low frequency
574,\prod,163,900,High frequency
577,\coprod,164,135,Medium frequency
582,\oint,165,960,High frequency
583,\parr,166,77,Low frequency
584,\with,167,163,Medium frequency
591,\fint,168,239,Medium frequency
595,\varoiint,169,113,Low frequency
600,\oiint,170,259,Medium frequency
601,\approx,171,1652,High frequency
603,\equiv,172,2039,High frequency
604,\not\equiv,173,310,Medium frequency
605,\perp,174,891,High frequency
607,\asymp,175,122,Medium frequency
608,\frown,176,73,Low frequency
609,\prec,177,423,High frequency
610,\succ,178,292,Medium frequency
611,\bowtie,179,194,Medium frequency
612,\preceq,180,224,Medium frequency
613,\succeq,181,162,Medium frequency
614,\mid,182,272,Medium frequency
615,\vdash,183,865,High frequency
616,\dashv,184,172,Medium frequency
617,\models,185,383,High frequency
618,\sim,186,1626,High frequency
620,\doteq,187,146,Medium frequency
621,\parallel,188,291,Medium frequency
622,\simeq,189,713,High frequency
630,\backsim,190,113,Low frequency
631,\multimap,191,80,Low frequency
634,\pitchfork,192,89,Low frequency
635,\therefore,193,616,High frequency
636,\because,194,174,Medium frequency
639,\between,195,76,Low frequency
640,\preccurlyeq,196,148,Medium frequency
644,\varpropto,197,106,Low frequency
647,\Vdash,198,109,Low frequency
650,\vDash,199,366,High frequency
661,\nmid,200,282,Medium frequency
671,\nvDash,201,116,Low frequency
678,\sqsubseteq,202,233,Medium frequency
679,\nsubseteq,203,161,Medium frequency
683,\subsetneq,204,194,Medium frequency
684,\varsubsetneq,205,79,Low frequency
698,\neq,206,1237,High frequency
711,\geqslant,207,246,Medium frequency
712,\gtrless,208,78,Low frequency
713,\lesssim,209,625,High frequency
716,\gtrsim,210,518,High frequency
728,\leqslant,211,322,High frequency
739,\trianglelefteq,212,135,Medium frequency
741,\blacktriangleright,213,49,Low frequency
743,\triangleq,214,461,High frequency
748,\Downarrow,215,132,Medium frequency
751,\downarrow,216,165,Medium frequency
