,precision,recall,f1-score,support
A,0.7,0.875,0.7777777777777778,16.0
B,0.75,0.42857142857142855,0.5454545454545454,7.0
C,0.36,0.6428571428571429,0.46153846153846156,14.0
D,0.3333333333333333,0.8333333333333334,0.47619047619047616,6.0
E,0.3,0.5,0.375,6.0
F,0.75,1.0,0.8571428571428571,6.0
G,0.8181818181818182,0.75,0.782608695652174,12.0
H,0.75,0.8571428571428571,0.8,7.0
I,0.5333333333333333,0.8,0.64,10.0
J,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
K,0.9,0.9,0.9,10.0
L,0.6428571428571429,0.75,0.6923076923076923,12.0
M,1.0,0.6666666666666666,0.8,12.0
N,0.5833333333333334,0.6363636363636364,0.6086956521739131,11.0
O,0.0,0.0,0.0,9.0
P,0.35714285714285715,0.625,0.45454545454545453,8.0
Q,0.8333333333333334,0.7142857142857143,0.7692307692307693,7.0
R,0.6363636363636364,0.7777777777777778,0.7,9.0
S,1.0,0.42857142857142855,0.6,7.0
T,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
U,0.0,0.0,0.0,6.0
V,0.17647058823529413,0.5,0.2608695652173913,6.0
W,0.6666666666666666,0.2857142857142857,0.4,7.0
X,0.0,0.0,0.0,6.0
Y,0.4,0.6666666666666666,0.5,6.0
Z,0.4,0.8571428571428571,0.5454545454545454,7.0
\rightarrow,0.6159420289855072,0.794392523364486,0.6938775510204082,107.0
0,0.3684210526315789,0.5,0.42424242424242425,14.0
1,0.4117647058823529,0.5833333333333334,0.4827586206896552,12.0
2,0.75,0.6923076923076923,0.72,13.0
3,0.625,0.4166666666666667,0.5,12.0
4,0.3684210526315789,1.0,0.5384615384615384,7.0
5,0.6363636363636364,0.875,0.7368421052631579,8.0
6,0.5555555555555556,0.5,0.5263157894736842,10.0
7,0.7777777777777778,0.875,0.8235294117647058,8.0
8,0.6363636363636364,0.5384615384615384,0.5833333333333334,13.0
9,0.6363636363636364,0.7777777777777778,0.7,9.0
\pi,0.8285714285714286,0.7532467532467533,0.7891156462585034,154.0
\alpha,0.7787234042553192,0.7011494252873564,0.7379032258064516,261.0
\beta,0.7727272727272727,0.8947368421052632,0.8292682926829268,114.0
\sum,0.6584699453551912,0.7088235294117647,0.6827195467422096,340.0
\sigma,0.8773584905660378,0.8230088495575221,0.8493150684931506,113.0
a,0.4666666666666667,0.7777777777777778,0.5833333333333334,9.0
b,0.25,0.16666666666666666,0.2,6.0
c,0.3333333333333333,0.14285714285714285,0.2,7.0
d,0.3,0.5,0.375,6.0
e,0.45454545454545453,0.7142857142857143,0.5555555555555556,7.0
f,0.5,0.42857142857142855,0.46153846153846156,7.0
g,0.2,0.16666666666666666,0.18181818181818182,6.0
h,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
i,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
j,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
k,1.0,0.6666666666666666,0.8,6.0
l,0.0,0.0,0.0,6.0
m,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
n,0.46153846153846156,0.8571428571428571,0.6,7.0
o,0.0,0.0,0.0,7.0
p,1.0,0.3333333333333333,0.5,6.0
q,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
r,0.4,0.5714285714285714,0.47058823529411764,7.0
s,0.0,0.0,0.0,6.0
u,0.2857142857142857,0.3333333333333333,0.3076923076923077,6.0
v,0.1111111111111111,0.14285714285714285,0.125,7.0
w,0.2857142857142857,0.6666666666666666,0.4,6.0
x,0.16666666666666666,0.14285714285714285,0.15384615384615385,7.0
y,0.4,0.3333333333333333,0.36363636363636365,6.0
z,0.0,0.0,0.0,6.0
\Sigma,0.44666666666666666,0.3507853403141361,0.39296187683284456,191.0
\gamma,0.9550561797752809,0.7456140350877193,0.8374384236453202,114.0
\Gamma,0.7903225806451613,0.7777777777777778,0.784,63.0
\delta,0.8524590163934426,0.832,0.8421052631578947,125.0
\Delta,0.6759259259259259,0.73,0.7019230769230769,100.0
\zeta,0.7721518987341772,0.6931818181818182,0.7305389221556886,88.0
\eta,0.7763157894736842,0.855072463768116,0.8137931034482758,69.0
\theta,0.6885245901639344,0.6363636363636364,0.6614173228346457,66.0
\Theta,0.65,0.5531914893617021,0.5977011494252874,47.0
\epsilon,0.24242424242424243,0.14545454545454545,0.18181818181818182,55.0
\varepsilon,0.5454545454545454,0.56,0.5526315789473685,75.0
\iota,0.5714285714285714,0.75,0.6486486486486487,16.0
\kappa,0.6,0.6923076923076923,0.6428571428571429,26.0
\varkappa,0.4444444444444444,0.26666666666666666,0.3333333333333333,15.0
\lambda,0.9108910891089109,0.92,0.9154228855721394,100.0
\Lambda,0.5454545454545454,0.5333333333333333,0.5393258426966292,45.0
\mu,0.8512396694214877,0.8956521739130435,0.8728813559322034,115.0
\nu,0.6444444444444445,0.725,0.6823529411764706,40.0
\xi,0.8530612244897959,0.8132295719844358,0.8326693227091634,257.0
\Xi,0.9,0.9,0.9,40.0
\Pi,0.4032258064516129,0.3125,0.352112676056338,80.0
\rho,0.9152542372881356,0.7714285714285715,0.8372093023255814,70.0
\varrho,0.7368421052631579,0.6086956521739131,0.6666666666666666,23.0
\tau,0.7142857142857143,0.3488372093023256,0.46875,43.0
\phi,0.59375,0.5507246376811594,0.5714285714285714,69.0
\Phi,0.8367346938775511,0.6721311475409836,0.7454545454545455,61.0
\varphi,0.9057971014492754,0.8169934640522876,0.8591065292096219,153.0
\chi,0.723404255319149,0.7311827956989247,0.7272727272727273,93.0
\psi,0.5625,0.47368421052631576,0.5142857142857142,57.0
\Psi,0.515625,0.7333333333333333,0.6055045871559633,45.0
\omega,0.8169014084507042,0.90625,0.8592592592592593,64.0
\Omega,0.7761194029850746,0.6265060240963856,0.6933333333333334,83.0
\partial,0.9230769230769231,0.8925619834710744,0.907563025210084,242.0
\int,0.9008264462809917,0.9289772727272727,0.9146853146853147,352.0
\cdot,0.7555555555555555,0.8947368421052632,0.8192771084337349,76.0
\leq,0.84375,0.5094339622641509,0.6352941176470588,106.0
\geq,0.6893203883495146,0.8160919540229885,0.7473684210526316,87.0
<,0.24324324324324326,0.75,0.3673469387755102,12.0
>,0.46153846153846156,0.5454545454545454,0.5,11.0
\subset,0.7764705882352941,0.8461538461538461,0.8098159509202454,78.0
\supset,0.9761904761904762,0.9761904761904762,0.9761904761904762,42.0
\subseteq,0.9791666666666666,0.8924050632911392,0.9337748344370861,158.0
\supseteq,0.918918918918919,0.8292682926829268,0.8717948717948718,41.0
\cong,0.9848484848484849,0.9285714285714286,0.9558823529411765,140.0
\propto,0.5357142857142857,0.6474820143884892,0.5863192182410424,139.0
-,0.75,1.0,0.8571428571428571,12.0
+,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
\mathbb{R},0.0,0.0,0.0,6.0
\$,0.7619047619047619,0.8205128205128205,0.7901234567901234,39.0
\{,0.6101694915254238,0.9473684210526315,0.7422680412371134,114.0
\copyright,0.85,0.68,0.7555555555555555,25.0
\dots,0.55,0.7857142857142857,0.6470588235294118,14.0
\},0.6956521739130435,0.48484848484848486,0.5714285714285714,33.0
\S,0.6956521739130435,0.45714285714285713,0.5517241379310345,35.0
\dag,0.8620689655172413,0.9615384615384616,0.9090909090909091,26.0
\pounds,0.8181818181818182,0.6,0.6923076923076923,15.0
\&,0.7619047619047619,0.8682170542635659,0.8115942028985508,129.0
\#,0.8761061946902655,0.9252336448598131,0.9,107.0
\%,0.9651162790697675,0.9325842696629213,0.9485714285714286,89.0
\checkmark,0.7047619047619048,0.8409090909090909,0.7668393782383419,88.0
\circledR,0.625,0.8333333333333334,0.7142857142857143,12.0
\mathsection,0.16666666666666666,0.07692307692307693,0.10526315789473684,13.0
\amalg,0.4666666666666667,0.3684210526315789,0.4117647058823529,19.0
\cup,0.967741935483871,0.967741935483871,0.967741935483871,93.0
\oplus,0.9444444444444444,0.8880597014925373,0.9153846153846154,134.0
\times,0.8780487804878049,0.9536423841059603,0.9142857142857143,151.0
\ast,1.0,0.9642857142857143,0.9818181818181818,56.0
\triangleleft,0.5263157894736842,0.7142857142857143,0.6060606060606061,14.0
\otimes,0.9333333333333333,0.9074074074074074,0.92018779342723,108.0
\triangleright,0.8125,0.8125,0.8125,16.0
\diamond,0.5789473684210527,0.88,0.6984126984126984,25.0
\pm,0.9673202614379085,0.9673202614379085,0.9673202614379085,153.0
\div,0.918918918918919,1.0,0.9577464788732394,34.0
\bullet,0.7037037037037037,0.5428571428571428,0.6129032258064516,35.0
\setminus,0.625,0.38461538461538464,0.47619047619047616,52.0
\uplus,0.95,1.0,0.9743589743589743,19.0
\cap,0.9629629629629629,0.9454545454545454,0.9541284403669725,110.0
\mp,0.8461538461538461,0.9166666666666666,0.88,12.0
\sqcap,0.34285714285714286,0.8,0.48,15.0
\vee,0.8,0.735632183908046,0.7664670658682635,87.0
\odot,0.6619718309859155,0.9591836734693877,0.7833333333333333,49.0
\sqcup,0.8333333333333334,0.9259259259259259,0.8771929824561403,27.0
\wedge,0.8552631578947368,0.8904109589041096,0.87248322147651,146.0
\circ,0.43478260869565216,0.40816326530612246,0.42105263157894735,98.0
\ominus,0.4117647058823529,0.6363636363636364,0.5,11.0
\star,0.8571428571428571,0.8888888888888888,0.8727272727272727,27.0
\wr,1.0,0.5,0.6666666666666666,6.0
\barwedge,0.9166666666666666,1.0,0.9565217391304348,11.0
\circledcirc,0.5217391304347826,1.0,0.6857142857142857,12.0
\boxdot,0.8666666666666667,1.0,0.9285714285714286,13.0
\ltimes,0.9,0.782608695652174,0.8372093023255814,23.0
\boxplus,0.9166666666666666,1.0,0.9565217391304348,11.0
