,precision,recall,f1-score,support
A,0.7368421052631579,0.875,0.8,16.0
B,0.75,0.42857142857142855,0.5454545454545454,7.0
C,0.39285714285714285,0.7857142857142857,0.5238095238095238,14.0
D,0.3333333333333333,0.5,0.4,6.0
E,0.625,0.8333333333333334,0.7142857142857143,6.0
F,0.75,1.0,0.8571428571428571,6.0
G,0.6875,0.9166666666666666,0.7857142857142857,12.0
H,1.0,0.5714285714285714,0.7272727272727273,7.0
I,0.5,0.7,0.5833333333333334,10.0
J,0.6428571428571429,0.8181818181818182,0.72,11.0
K,0.6428571428571429,0.9,0.75,10.0
L,0.5789473684210527,0.9166666666666666,0.7096774193548387,12.0
M,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
N,0.875,0.6363636363636364,0.7368421052631579,11.0
O,0.0,0.0,0.0,9.0
P,0.0,0.0,0.0,8.0
Q,0.8333333333333334,0.7142857142857143,0.7692307692307693,7.0
R,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
S,0.0,0.0,0.0,7.0
T,0.0,0.0,0.0,6.0
U,0.0,0.0,0.0,6.0
V,1.0,0.16666666666666666,0.2857142857142857,6.0
W,1.0,0.42857142857142855,0.6,7.0
X,0.2,0.16666666666666666,0.18181818181818182,6.0
Y,0.8,0.6666666666666666,0.7272727272727273,6.0
Z,0.3,0.42857142857142855,0.35294117647058826,7.0
\rightarrow,0.6808510638297872,0.897196261682243,0.7741935483870968,107.0
0,0.25,0.14285714285714285,0.18181818181818182,14.0
1,0.5714285714285714,0.6666666666666666,0.6153846153846154,12.0
2,0.8333333333333334,0.7692307692307693,0.8,13.0
3,0.6470588235294118,0.9166666666666666,0.7586206896551724,12.0
4,1.0,1.0,1.0,7.0
5,1.0,0.875,0.9333333333333333,8.0
6,0.6428571428571429,0.9,0.75,10.0
7,0.7777777777777778,0.875,0.8235294117647058,8.0
8,1.0,0.6153846153846154,0.7619047619047619,13.0
9,0.0,0.0,0.0,9.0
\pi,0.8878504672897196,0.6168831168831169,0.7279693486590039,154.0
\alpha,0.8083623693379791,0.8888888888888888,0.8467153284671532,261.0
\beta,0.8623853211009175,0.8245614035087719,0.8430493273542601,114.0
\sum,0.6615720524017468,0.8911764705882353,0.7593984962406015,340.0
\sigma,0.9532710280373832,0.9026548672566371,0.9272727272727272,113.0
a,1.0,0.7777777777777778,0.875,9.0
b,0.4,0.6666666666666666,0.5,6.0
c,0.0,0.0,0.0,7.0
d,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
