model,true_index,true_symbol_id,true_latex,predicted_index,predicted_symbol_id,predicted_latex,confusion_count,true_class_test_count,confusion_rate_within_true_class
Custom CNN,67,116,\Sigma,40,88,\sum,151,191,0.7905759162303665
Custom CNN,331,1066,\mathds{R},114,197,\mathbb{R},73,238,0.3067226890756303
Custom CNN,249,881,\bot,174,605,\perp,67,74,0.9054054054054054
Custom CNN,150,537,\circ,312,1007,\mathcal{O},56,98,0.5714285714285714
Custom CNN,87,168,\Pi,163,574,\prod,51,80,0.6375
Custom CNN,111,194,\propto,38,82,\alpha,50,139,0.3597122302158273
Custom CNN,270,920,|,182,614,\mid,48,52,0.9230769230769231
Custom CNN,149,536,\wedge,82,163,\Lambda,43,146,0.2945205479452055
Custom CNN,343,1102,\degree,312,1007,\mathcal{O},39,68,0.5735294117647058
Custom CNN,96,179,\Psi,95,178,\psi,34,45,0.7555555555555555
Custom CNN,291,959,\triangle,71,152,\Delta,32,32,1.0
Custom CNN,298,974,\varnothing,353,1184,\diameter,31,47,0.6595744680851063
Custom CNN,76,157,\epsilon,255,888,\in,31,55,0.5636363636363636
Custom CNN,285,950,\emptyset,353,1184,\diameter,29,95,0.30526315789473685
Custom CNN,37,81,\pi,163,574,\prod,28,154,0.18181818181818182
Custom CNN,325,1046,\mathds{1},324,1045,\mathbb{1},28,32,0.875
Custom CNN,147,534,\odot,347,1115,\astrosun,28,49,0.5714285714285714
Custom CNN,40,88,\sum,67,116,\Sigma,26,340,0.07647058823529412
Custom CNN,271,921,\|,188,621,\parallel,26,37,0.7027027027027027
Custom CNN,352,1177,\checked,126,268,\checkmark,26,28,0.9285714285714286
Custom CNN,223,762,\Longrightarrow,217,753,\Rightarrow,25,27,0.9259259259259259
Custom CNN,284,949,\backslash,141,528,\setminus,25,26,0.9615384615384616
Custom CNN,185,617,\models,199,650,\vDash,25,48,0.5208333333333334
Custom CNN,245,823,\shortrightarrow,26,59,\rightarrow,24,28,0.8571428571428571
Custom CNN,365,1394,\o,353,1184,\diameter,23,32,0.71875
Custom CNN,344,1103,\ohm,98,181,\Omega,23,33,0.696969696969697
Custom CNN,219,757,\Longleftrightarrow,227,767,\Leftrightarrow,22,24,0.9166666666666666
